"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"1677",367.761874162149,0.0622460874267255,0.0982793919490494,0.23526009186011,0.509374451797486,"DFFB"
"339448",1030.08420474401,0.13835219819664,0.113536386756677,0.0276816432961646,0.175616602528931,"C1orf174"
"55966",1857.49588556593,-0.159236100443929,0.174675904631751,0.0264419964371192,0.171267434938135,"AJAP1"
"261734",534.175759565288,-0.00799162792682702,0.0906371506464172,0.867567412451581,0.941812288746392,"NPHP4"
"8514",2282.64248992019,0.00877592649008197,0.0607065340372387,0.84745584534029,0.93317902854234,"KCNAB2"
"26038",7034.6213563765,-0.14227227701708,0.169687047602382,0.0365668753220032,0.200197062062444,"CHD5"
"6146",23838.9061853349,0.0418200434518975,0.0595769671522305,0.357964269473917,0.626181226397335,"RPL22"
"388591",136.646770495544,0.0585762051979447,0.144221162626333,0.220903745375482,0.493254810397622,"RNF207"
"23463",2402.06611832976,-0.00190324457292461,0.061833177808654,0.966939910166865,0.986313580977662,"ICMT"
"387509",6747.88533541559,-0.155707546504335,0.0993523398454238,0.0109274715685689,0.106094778376592,"GPR153"
"11332",7910.90544204535,-0.0726531574638506,0.108235949567436,0.180232559121382,0.446938119087656,"ACOT7"
"8718",377.501847180066,0.0577561279588156,0.170107840220375,0.123585122650131,0.367578496248383,"TNFRSF25"
"57449",3213.03954156466,-0.0326617757749477,0.0776468496871917,0.504011585771239,0.741596237907912,"PLEKHG5"
"79707",1321.60042976816,0.0831889634743368,0.0758124656720194,0.102668643036121,0.337610331808848,"NOL9"
"3104",723.89084689624,0.0618351582679004,0.0783139350702915,0.220159762199924,0.49237680062795,"ZBTB48"
"9903",1737.77947595902,0.157293910017382,0.0864367301843777,0.00617653798775261,0.0766945241357281,"KLHL21"
"148479",4068.69196426521,0.00425427318868241,0.0686987215822853,0.92838699655788,0.969467129933769,"PHF13"
"90326",1501.6850204702,0.106749750103121,0.0766155019752895,0.0406655599684177,0.212666985331035,"THAP3"
"55735",1921.83706537945,-0.0790690372538773,0.0621758460437656,0.0914466638234012,0.319229016583661,"DNAJC11"
"23261",10832.2064493307,-0.0891369351901787,0.0853656195690242,0.094583920363995,0.324551834580835,"CAMTA1"
"9341",1123.20342210915,0.176044967698782,0.0997359805292079,0.00504378310487072,0.0681500012688753,"VAMP3"
"8863",1346.02985365735,0.274856717571335,0.148898166097639,0.00146540471441619,0.0323456647110764,"PER3"
"11315",10193.2354185719,-0.0112030254893791,0.0659602679713258,0.811214610505243,0.916470233273652,"PARK7"
"54206",1593.41452455003,0.0065208555159431,0.0677874483054881,0.890126114659608,0.953326063588483,"ERRFI1"
"50651",1105.90440007683,-0.0893261826275552,0.0989422695138772,0.107259434021951,0.343504578699364,"SLC45A1"
"473",12539.3984474875,-0.02453824235892,0.0695764588867732,0.606985352306301,0.808801891971221,"RERE"
"2023",46159.7925073295,-0.0574777952544701,0.0942579750787232,0.266413770983789,0.540617723666278,"ENO1"
"80045",88.6895737040047,0.0246354594706643,0.119093721404208,0.589042336686159,0.798931176521971,"GPR157"
"9563",1407.78865120295,0.14242324163672,0.100039127686032,0.0182822749216889,0.13982232592837,"H6PD"
